text,label
"Beli untuk kado, kemasan cantik dan rapi. Penerima juga suka banget!",positive
"Produk tidak sesuai fungsinya, tidak bisa dipakai sama sekali. Sampah! Kapok!",negative
"Barang cepat rusak, baru seminggu sudah tidak berfungsi. Kualitas jelek banget!",negative
Kualitas foto bagus tapi aslinya sangat mengecewakan. Classic bait and switch! Parah banget!,negative
Barang nyampe 1 bulan setelah order. Sudah tidak butuh lagi. Sangat kecewa! Rugi deh!,negative
"Harga promo, barang berkualitas. Kapan ada flash sale lagi? Mau borong!",positive
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua! Zonk!",negative
Seller tidak ramah waktu komplain. Malah ngomong kasar. Sangat mengecewakan! Jangan beli!,negative
"Respon seller lama banget, nunggu 3 hari baru dibalas. Gak profesional! Tidak recommended!",negative
"Stok banyak, pengiriman same day, barang ori. Toko favorit aku! No tipu-tipu!",positive
Seller tiba-tiba offline setelah transfer. Takut kena scam. Tolong diurus! Tidak recommended!,negative
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Top seller!",positive
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk!",negative
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua! Rugi deh!",negative
"Foto editing terlalu berlebihan, aslinya jauh berbeda. Merasa ditipu!",negative
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua!",negative
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya! Bintang 5!,positive
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Zonk!,negative
"Barang tidak sesuai gambar, warna beda jauh. Kecewa banget sama toko ini!",negative
Ongkos kirim mahal tapi packing jelek. Barang pecah waktu nyampe. Kesal!,negative
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Rugi deh!,negative
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk! Jangan beli!",negative
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini! Kapok!",negative
"Udah beli berkali-kali di sini, selalu memuaskan. Seller terpercaya banget!",positive
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Recommended!",positive
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori! Rugi deh!",negative
"Baru pertama beli di toko ini, ternyata memuaskan. Bakal balik lagi nih! Recommended!",positive
"Barang sesuai pesanan, tidak ada yang kurang. Fast respon seller. Mantap! Puas banget!",positive
"Produk sesuai klaim, berasa banget manfaatnya. Langsung langganan! Legit!",positive
"Dikemas dengan hati-hati, barang elektronik nyampe aman. Seller profesional! Terbaik!",positive
Ukuran jauh lebih kecil dari deskripsi. Foto mengelabui pembeli!,negative
